schedule,tau,alpha,success_prob
Slow,1000.0,0.910,0.9980
Slow,1000.0,0.915,0.9980
Slow,1000.0,0.920,0.9980
Slow,1000.0,0.925,0.9980
Slow,1000.0,0.930,0.9980
Slow,1000.0,0.935,0.9980
Slow,1000.0,0.940,0.9980
Slow,1000.0,0.945,0.9980
Slow,1000.0,0.950,0.9980
Slow,1000.0,0.955,0.9980
Slow,1000.0,0.960,0.9980
Slow,1000.0,0.965,0.9980
Slow,1000.0,0.970,0.9980
Slow,1000.0,0.975,0.9980
Slow,1000.0,0.980,0.9980
Slow,1000.0,0.985,0.9980
Slow,1000.0,0.990,0.9980
Slow,1000.0,0.995,0.9980
Slow,1000.0,1.000,0.9980
