tau,alpha,m_value
100,0.8,0.1871671859865609
100,0.8,-0.21923805845940808
100,0.8,0.33767233199767904
100,0.8,0.03466370997261699
100,0.8,-0.195863573779676
100,0.8,-0.0003184823694038386
100,0.8,0.28518084899800356
100,0.8,-0.1829304037594077
100,0.8,-0.10114783727869235
100,0.8,0.32165538558312845
100,0.8,0.239716763949132
100,0.8,0.049262505690933094
100,0.8,0.17895830615489922
100,0.8,0.3318155092815769
100,0.8,0.25065374014362923
100,0.8,-0.12999986880435604
100,0.8,0.1651535097824393
100,0.8,0.30344703344220075
100,0.8,0.11951877449461037
100,0.8,0.07822904831856477
100,0.8,-0.09205736519832204
100,0.8,0.44767388271899233
100,0.8,0.07397736352417432
100,0.8,0.1171859958810634
100,0.8,-0.09282982348379952
100,0.8,-0.1369161882946564
100,0.8,0.05969805000529132
100,0.8,0.10528883761549679
100,0.8,0.013887686809141188
100,0.8,-0.02203988479847148
100,0.8,0.18942912558224753
100,0.8,0.1703930408583416
100,0.8,0.14198354591313295
100,0.8,0.030710029362092328
100,0.8,0.12301295916666799
100,0.8,0.3536279254481718
100,0.8,0.14440216138017342
100,0.8,0.17819785518770567
100,0.8,-0.1855194987343758
100,0.8,-0.26445336200014147
100,0.8,-0.42355064353946903
100,0.8,0.22786638525791825
100,0.8,0.07090664314561028
100,0.8,0.026210224032702636
100,0.8,-0.2591432399433932
100,0.8,-0.25104689715579526
100,0.8,0.33186199680661893
100,0.8,0.27384617972467495
100,0.8,0.15278895360199238
100,0.8,-0.11075276654676491
100,0.8,0.25993811454805676
100,0.8,0.2704411139812617
100,0.8,0.12044361966017672
100,0.8,-0.24009269340286324
100,0.8,0.24420255856295583
100,0.8,0.2632495835722088
100,0.8,0.05717827176973245
100,0.8,0.01398247016858072
100,0.8,0.09950200694947178
100,0.8,0.200703624361166
100,0.8,0.09707618494857968
100,0.8,-0.053033443632867265
100,0.8,0.18445846383051664
100,0.8,0.1299460262716627
100,0.8,0.21045924431910415
100,0.8,-0.027484605570406464
100,0.8,0.011826274162028128
100,0.8,0.1298303295870932
100,0.8,0.303584418516609
100,0.8,-0.06026839719814286
100,0.8,-0.23035402216709777
100,0.8,0.1875302824887829
100,0.8,-0.03897688074073918
100,0.8,-0.0019313577266188986
100,0.8,0.0012020165504251779
100,0.8,0.15874557001767134
100,0.8,-0.13602172229840478
100,0.8,-0.002799735843792739
100,0.8,-0.06434416468439164
100,0.8,0.1975486008192748
100,0.8,0.277558118945621
100,0.8,-0.13362397266294082
100,0.8,0.20270636336203687
100,0.8,0.14813847577778214
100,0.8,-0.33495872580079705
100,0.8,-0.013003581305554146
100,0.8,-0.38785164763159197
100,0.8,-0.20941176886529514
100,0.8,0.36015561501836224
100,0.8,0.18612286480187487
100,0.8,-0.0815521725948699
100,0.8,0.08376072191865447
100,0.8,0.06350772674319725
100,0.8,-0.2633242980963914
100,0.8,-0.23378338367178753
100,0.8,0.20240459105329728
100,0.8,-0.26695409807225773
100,0.8,0.062009853189990416
100,0.8,0.22046100984928466
100,0.8,0.11036186461746329
100,0.8,0.14879167633121515
100,0.8,-0.20653462528630176
100,0.8,0.367955071758011
100,0.8,0.03858592860311703
100,0.8,-0.18507167691388757
100,0.8,-0.035257446952484985
100,0.8,0.30503208308141866
100,0.8,-0.16321370701401197
100,0.8,-0.1094089343099368
100,0.8,0.31268322691689543
100,0.8,0.19595361086252083
100,0.8,0.018252848348397067
100,0.8,0.1564256095549439
100,0.8,0.3052449857753248
100,0.8,0.23188715358249504
100,0.8,-0.13774049286236298
100,0.8,0.18936487727874898
100,0.8,0.30665017644306
100,0.8,0.11946345992350214
100,0.8,0.03319812682031866
100,0.8,-0.08606648913838236
100,0.8,0.40916784325871536
100,0.8,0.08618631407365562
100,0.8,0.11266155588085987
100,0.8,-0.09578612384049318
100,0.8,-0.14170594623177468
100,0.8,0.05085293098905855
100,0.8,0.04835440607619912
100,0.8,0.0024232388316917765
100,0.8,-0.02820921244208412
100,0.8,0.18975124437595847
100,0.8,0.1862317063989119
100,0.8,0.1327824164271977
100,0.8,0.01868178756876784
100,0.8,0.11642462524984563
100,0.8,0.344170967007414
100,0.8,0.17852709816968845
100,0.8,0.18494882879974775
100,0.8,-0.2073842426927313
100,0.8,-0.28571383831914376
100,0.8,-0.39224404806715674
100,0.8,0.26690321682311907
100,0.8,0.03283823277164508
100,0.8,0.04439553827493495
100,0.8,-0.281478226516795
100,0.8,-0.24787053972933235
100,0.8,0.32099424901006607
100,0.8,0.25567728529305817
100,0.8,0.16941800265919832
100,0.8,-0.10626434701898752
100,0.8,0.20587232219815235
100,0.8,0.27641791971509394
100,0.8,0.07300349862155357
100,0.8,-0.25675164800244554
100,0.8,0.22917957576871847
100,0.8,0.24781191133218422
100,0.8,0.03627307493255767
100,0.8,0.06080734298216548
100,0.8,0.029237190603382503
100,0.8,0.21793235884820883
100,0.8,0.134968426536871
100,0.8,-0.036371268121995204
100,0.8,0.18758856901759505
100,0.8,0.0794710943843354
100,0.8,0.21052385530813034
100,0.8,-0.020871419752607603
100,0.8,0.02011349702489991
100,0.8,0.13970823628769882
100,0.8,0.24337481300566355
100,0.8,-0.06749276323107214
100,0.8,-0.237576700146324
100,0.8,0.1445877915202125
100,0.8,-0.04653862110009151
100,0.8,0.040070858969870574
100,0.8,0.028600822018431418
100,0.8,0.18215467375113656
100,0.8,-0.14860747056666046
100,0.8,0.04357120188428301
100,0.8,-0.013407704678448963
100,0.8,0.15671937975832562
100,0.8,0.24228579241722648
100,0.8,-0.15852228681717176
100,0.8,0.23144715831903184
100,0.8,0.15293767618094822
100,0.8,-0.306333516809112
100,0.8,-0.050015878759519516
100,0.8,-0.3711053640163884
100,0.8,-0.19503268061529502
100,0.8,0.37733773400394277
100,0.8,0.14146299437019447
100,0.8,-0.032337047492144326
100,0.8,0.11666162002816005
100,0.8,0.03655121980685063
100,0.8,-0.27464041431735825
100,0.8,-0.22532947980274978
100,0.8,0.20122594527986185
100,0.8,-0.2387346530058303
100,0.8,0.042753731555529306
100,0.8,0.19986905991136386
100,0.8,0.09297314154644756
100,0.8,0.1345876662756707
100,0.8,-0.16481860078903746
100,0.8,0.36810921296809096
100,0.8,0.061364137391284504
100,0.8,-0.17559422128904523
100,0.8,-0.021443552591096895
100,0.8,0.3107512749937989
100,0.8,-0.15641149464186077
100,0.8,-0.0805981183240009
100,0.8,0.33312828251271065
100,0.8,0.23100008872619623
100,0.8,0.00838046304869664
100,0.8,0.16533799794246917
100,0.8,0.30775737721238966
100,0.8,0.24859628344455198
100,0.8,-0.10668077089607292
100,0.8,0.20269063610319782
100,0.8,0.3297572122587612
100,0.8,0.1572129662135307
100,0.8,0.02587136255229332
100,0.8,-0.1126681831800191
100,0.8,0.421429251972268
100,0.8,0.12666135421610855
100,0.8,0.11489021074487518
100,0.8,-0.08582027992774438
100,0.8,-0.09381473985644347
100,0.8,0.082506308626159
100,0.8,0.08274152064845773
100,0.8,-0.0396275201156934
100,0.8,-0.017197111995726645
100,0.8,0.1946899384147825
100,0.8,0.1805908322019425
100,0.8,0.14597049415560495
100,0.8,0.021297438903649102
100,0.8,0.07126359133748786
100,0.8,0.27134088272091095
100,0.8,0.18499403737278133
100,0.8,0.16430408780080585
100,0.8,-0.23900057499960925
100,0.8,-0.29860075485838594
100,0.8,-0.34413409171492115
100,0.8,0.2775719743928448
100,0.8,-0.004657312862345897
100,0.8,0.037411250649331505
100,0.8,-0.2626566853176366
