tau,alpha_target,magnetization
100.0,0.850,0.051197
100.0,0.850,-0.132241
100.0,0.850,-0.156272
100.0,0.850,0.172473
100.0,0.850,0.027582
100.0,0.850,-0.278752
100.0,0.850,-0.037687
100.0,0.850,0.069372
100.0,0.850,-0.110295
100.0,0.850,-0.118931
100.0,0.850,0.281307
100.0,0.850,0.065752
100.0,0.850,-0.266887
100.0,0.850,0.258157
100.0,0.850,-0.088144
100.0,0.850,0.168037
100.0,0.850,0.039128
100.0,0.850,-0.087958
100.0,0.850,0.174916
100.0,0.850,0.189964
100.0,0.850,-0.152786
100.0,0.850,-0.103308
100.0,0.850,0.151422
100.0,0.850,-0.008469
100.0,0.850,0.023502
100.0,0.850,0.038884
100.0,0.850,0.254811
100.0,0.850,-0.026654
100.0,0.850,-0.107914
100.0,0.850,0.101484
100.0,0.850,0.019740
100.0,0.850,-0.015327
100.0,0.850,0.063791
100.0,0.850,-0.051374
100.0,0.850,-0.056028
100.0,0.850,-0.082602
100.0,0.850,-0.049699
100.0,0.850,-0.080828
100.0,0.850,0.017444
100.0,0.850,-0.150625
100.0,0.850,-0.124577
100.0,0.850,-0.201736
100.0,0.850,-0.035360
100.0,0.850,-0.050739
100.0,0.850,-0.098187
100.0,0.850,-0.313878
100.0,0.850,-0.084331
100.0,0.850,0.184498
100.0,0.850,0.142977
100.0,0.850,0.035140
100.0,0.850,-0.041072
100.0,0.850,-0.075143
100.0,0.850,-0.117085
100.0,0.850,0.003125
100.0,0.850,0.278729
100.0,0.850,-0.044995
100.0,0.850,-0.127802
100.0,0.850,0.176336
100.0,0.850,0.134702
100.0,0.850,-0.258349
100.0,0.850,-0.015042
100.0,0.850,-0.037931
100.0,0.850,-0.271100
100.0,0.850,-0.074632
100.0,0.850,-0.207938
100.0,0.850,0.087020
100.0,0.850,-0.057418
100.0,0.850,0.187483
100.0,0.850,0.312227
100.0,0.850,-0.121825
100.0,0.850,-0.017869
100.0,0.850,0.101009
100.0,0.850,0.114420
100.0,0.850,0.122397
100.0,0.850,-0.086098
100.0,0.850,0.021359
100.0,0.850,-0.030550
100.0,0.850,0.051881
100.0,0.903,0.225473
100.0,0.903,0.288156
100.0,0.903,-0.048663
100.0,0.903,-0.023895
100.0,0.903,-0.082455
100.0,0.903,0.088819
100.0,0.903,0.073583
100.0,0.903,-0.128722
100.0,0.903,0.113222
100.0,0.903,-0.005568
100.0,0.903,0.024058
100.0,0.903,-0.074853
100.0,0.903,-0.315646
100.0,0.903,-0.078314
100.0,0.903,-0.002981
100.0,0.903,0.253398
100.0,0.903,-0.132765
100.0,0.903,-0.028640
100.0,0.903,0.079635
100.0,0.903,0.204116
100.0,0.903,0.210491
100.0,0.903,-0.031628
100.0,0.903,-0.135207
100.0,0.903,-0.226716
100.0,0.903,0.153602
100.0,0.903,-0.100937
100.0,0.903,0.246721
100.0,0.903,-0.175890
100.0,0.903,0.255426
100.0,0.903,0.318278
100.0,0.903,0.145753
100.0,0.903,0.427053
100.0,0.903,-0.037583
100.0,0.903,0.186839
100.0,0.903,-0.317775
100.0,0.903,-0.075520
100.0,0.903,-0.230945
100.0,0.903,-0.210716
100.0,0.903,-0.073652
100.0,0.903,-0.304125
100.0,0.903,-0.178235
100.0,0.903,-0.350304
100.0,0.903,0.194495
100.0,0.903,-0.066620
100.0,0.903,-0.065641
100.0,0.903,-0.070486
100.0,0.903,0.096378
100.0,0.903,-0.205765
100.0,0.903,0.376915
100.0,0.903,0.047841
100.0,0.903,0.016613
100.0,0.903,-0.180341
100.0,0.903,-0.020196
100.0,0.903,0.093952
100.0,0.903,-0.013412
100.0,0.903,-0.012778
100.0,0.903,-0.036789
100.0,0.903,-0.068760
100.0,0.903,-0.053870
100.0,0.903,0.116619
100.0,0.903,0.445589
100.0,0.903,-0.234105
100.0,0.903,-0.097269
100.0,0.903,0.045092
100.0,0.903,-0.047380
100.0,0.903,0.163661
100.0,0.903,-0.042115
100.0,0.903,-0.112624
100.0,0.903,0.067095
100.0,0.903,0.180632
100.0,0.903,0.097408
100.0,0.903,-0.134031
100.0,0.903,0.036553
100.0,0.903,-0.007054
100.0,0.903,-0.007106
100.0,0.903,0.097346
100.0,0.903,0.316155
100.0,0.903,0.011466
100.0,0.903,-0.014889
100.0,0.903,-0.111777
100.0,0.903,-0.004674
100.0,0.903,-0.287335
100.0,0.903,-0.094874
100.0,0.903,0.003509
100.0,0.903,-0.169538
100.0,0.903,-0.008335
100.0,0.903,0.289183
100.0,0.903,0.540032
100.0,0.903,0.194728
100.0,0.903,-0.067465
100.0,0.903,-0.065070
100.0,0.903,0.217415
100.0,0.903,-0.084867
100.0,0.903,0.180274
100.0,0.903,0.111122
100.0,0.903,0.306585
100.0,0.903,-0.392165
100.0,0.903,0.138336
100.0,0.903,-0.062828
100.0,0.903,0.005914
100.0,0.950,0.358156
100.0,0.950,0.792587
100.0,0.950,0.177601
100.0,0.950,0.560503
100.0,0.950,0.526895
100.0,0.950,0.042724
100.0,0.950,0.499317
100.0,0.950,0.632573
100.0,0.950,0.663961
100.0,0.950,0.033325
100.0,0.950,0.606541
100.0,0.950,0.869780
100.0,0.950,0.713943
100.0,0.950,0.323915
100.0,0.950,0.377535
100.0,0.950,0.315775
100.0,0.950,0.266133
100.0,0.950,0.578718
100.0,0.950,0.378678
100.0,0.950,0.714189
100.0,0.950,0.366010
100.0,0.950,0.348852
100.0,0.950,-0.128055
100.0,0.950,0.289883
100.0,0.950,0.477100
100.0,0.950,0.137402
100.0,0.950,0.729271
100.0,0.950,-0.028752
100.0,0.950,0.278856
100.0,0.950,0.658419
100.0,0.950,0.665802
100.0,0.950,0.276968
100.0,0.950,0.387565
100.0,0.950,0.573145
100.0,0.950,0.377611
100.0,0.950,0.401533
100.0,0.950,0.336352
100.0,0.950,0.511376
100.0,0.950,0.058300
100.0,0.950,0.557554
100.0,0.950,0.581306
100.0,0.950,0.482988
100.0,0.950,0.240605
100.0,0.950,0.245285
100.0,0.950,0.565547
100.0,0.950,0.747935
100.0,0.950,0.446371
100.0,0.950,0.550114
100.0,0.950,0.460681
100.0,0.950,0.761465
100.0,0.950,-0.127100
100.0,0.950,0.554529
100.0,0.950,0.140447
100.0,0.950,0.426319
100.0,0.950,0.554065
100.0,0.950,0.075638
100.0,0.950,0.537433
100.0,0.950,0.467438
100.0,0.950,0.176666
100.0,0.950,0.173611
100.0,0.950,0.628508
100.0,0.950,0.429641
100.0,0.950,0.382412
100.0,0.950,0.628379
