tau,T,success_rate
206.913808111479,4281.332398719395,0.0
206.913808111479,6951.927961775606,0.0
206.913808111479,11288.378916846883,0.0
206.913808111479,18329.807108324374,0.0
206.913808111479,29763.51441631319,0.0
206.913808111479,48329.30238571752,0.0
206.913808111479,78475.99703514607,0.0
206.913808111479,127427.49857031347,0.0
206.913808111479,206913.808111479,0.16
206.913808111479,335981.8286283781,0.4
206.913808111479,545559.4781168514,0.56
206.913808111479,885866.7904100833,0.68
206.913808111479,1.438449888287663e6,0.8
206.913808111479,2.3357214690901213e6,0.88
206.913808111479,3.792690190732246e6,0.98
206.913808111479,6.158482110660267e6,0.98
206.913808111479,1.0e7,0.98
379.26901907322497,1000.0,0.0
379.26901907322497,1623.7767391887226,0.0
379.26901907322497,2636.650898730358,0.0
379.26901907322497,4281.332398719395,0.0
379.26901907322497,6951.927961775606,0.0
379.26901907322497,11288.378916846883,0.0
379.26901907322497,18329.807108324374,0.0
379.26901907322497,29763.51441631319,0.0
379.26901907322497,48329.30238571752,0.0
379.26901907322497,78475.99703514607,0.0
379.26901907322497,127427.49857031347,0.0
379.26901907322497,206913.808111479,0.0
379.26901907322497,335981.8286283781,0.12
379.26901907322497,545559.4781168514,0.28
379.26901907322497,885866.7904100833,0.6
379.26901907322497,1.438449888287663e6,0.72
379.26901907322497,2.3357214690901213e6,0.84
379.26901907322497,3.792690190732246e6,0.9
379.26901907322497,6.158482110660267e6,0.88
379.26901907322497,1.0e7,0.98
695.1927961775606,1000.0,0.0
695.1927961775606,1623.7767391887226,0.0
695.1927961775606,2636.650898730358,0.0
695.1927961775606,4281.332398719395,0.0
695.1927961775606,6951.927961775606,0.0
695.1927961775606,11288.378916846883,0.0
695.1927961775606,18329.807108324374,0.0
695.1927961775606,29763.51441631319,0.0
695.1927961775606,48329.30238571752,0.0
695.1927961775606,78475.99703514607,0.0
695.1927961775606,127427.49857031347,0.0
695.1927961775606,206913.808111479,0.0
695.1927961775606,335981.8286283781,0.0
695.1927961775606,545559.4781168514,0.1
695.1927961775606,885866.7904100833,0.54
695.1927961775606,1.438449888287663e6,0.58
695.1927961775606,2.3357214690901213e6,0.7
695.1927961775606,3.792690190732246e6,0.8
695.1927961775606,6.158482110660267e6,0.92
695.1927961775606,1.0e7,0.92
1274.2749857031336,1000.0,0.0
1274.2749857031336,1623.7767391887226,0.0
1274.2749857031336,2636.650898730358,0.0
1274.2749857031336,4281.332398719395,0.0
1274.2749857031336,6951.927961775606,0.0
1274.2749857031336,11288.378916846883,0.0
1274.2749857031336,18329.807108324374,0.0
1274.2749857031336,29763.51441631319,0.0
1274.2749857031336,48329.30238571752,0.0
1274.2749857031336,78475.99703514607,0.0
1274.2749857031336,127427.49857031347,0.0
1274.2749857031336,206913.808111479,0.0
1274.2749857031336,335981.8286283781,0.0
1274.2749857031336,545559.4781168514,0.0
1274.2749857031336,885866.7904100833,0.0
1274.2749857031336,1.438449888287663e6,0.34
1274.2749857031336,2.3357214690901213e6,0.5
1274.2749857031336,3.792690190732246e6,0.74
1274.2749857031336,6.158482110660267e6,0.68
1274.2749857031336,1.0e7,0.9
2335.7214690901214,1000.0,0.0
2335.7214690901214,1623.7767391887226,0.0
2335.7214690901214,2636.650898730358,0.0
2335.7214690901214,4281.332398719395,0.0
2335.7214690901214,6951.927961775606,0.0
2335.7214690901214,11288.378916846883,0.0
2335.7214690901214,18329.807108324374,0.0
2335.7214690901214,29763.51441631319,0.0
2335.7214690901214,48329.30238571752,0.0
2335.7214690901214,78475.99703514607,0.0
2335.7214690901214,127427.49857031347,0.0
