method,tau,trial,success,hit_step,hit_alpha
SA,1000.0,91,false,-1,1.0
SA,1000.0,92,false,-1,1.0
SA,1000.0,93,false,-1,1.0
SA,1000.0,94,false,-1,1.0
SA,1000.0,95,false,-1,1.0
SA,1000.0,96,false,-1,1.0
SA,1000.0,97,false,-1,1.0
SA,1000.0,98,false,-1,1.0
SA,1000.0,99,true,11,1.1e-5
SA,1000.0,100,false,-1,1.0
